,Brazil
2020-02-14,123.94650558902846
2020-02-17,123.78311167875997
2020-02-18,123.85783251216797
2020-02-19,123.68681310852243
2020-02-20,123.95665746235176
2020-02-21,123.82219589668695
2020-02-26,123.74259633219458
2020-02-27,124.30001368964507
2020-02-28,123.99926988707877
2020-03-02,123.93823545653314
2020-03-03,124.55943214564414
2020-03-04,124.22449507357646
2020-03-05,124.04418662519834
2020-03-06,124.41050907389493
2020-03-09,124.57880016870509
2020-03-10,124.92605865886557
2020-03-11,126.87068915561433
2020-03-12,128.81523559333937
2020-03-13,129.16489374772263
2020-03-16,128.96639038876873
2020-03-17,128.59608982920582
2020-03-18,129.09032012805702
2020-03-19,129.7659752529707
2020-03-20,130.44355020773182
2020-03-23,131.13503293419285
2020-03-24,131.32086601854104
2020-03-25,131.336092705312
2020-03-26,131.18803217208242
2020-03-27,131.17773112669659
2020-03-30,131.0772053868978
2020-03-31,131.0467505491534
2020-04-01,131.1651986555857
2020-04-02,131.00326770866246
2020-04-03,130.96668344037568
2020-04-06,131.37358041244772
2020-04-07,131.30435607375023
2020-04-08,131.37717214135182
2020-04-09,131.6849254830463
2020-04-13,131.92310368488342
2020-04-14,131.75581984160522
2020-04-15,131.72551127380544
2020-04-16,131.74515959558212
2020-04-17,131.55884013012474
2020-04-20,131.47042215906427
2020-04-22,131.33820877748403
2020-04-23,131.47542773289751
2020-04-24,131.77889818602304
2020-04-27,132.0744012679102
2020-04-28,132.05996783183636
2020-04-29,131.9994161138338
2020-04-30,131.71502883937424
2020-05-04,132.09577248165743
2020-05-05,131.65556952140872
2020-05-06,132.0250374876081
2020-05-07,131.983260425729
2020-05-08,132.07329296631033
2020-05-11,132.15869555338512
2020-05-12,132.65590939919173
2020-05-13,133.10166936091034
2020-05-14,132.91177024260466
2020-05-15,132.89645527252983
2020-05-18,133.13930758723026
2020-05-19,133.2189415235098
2020-05-20,133.15611062833344
2020-05-21,133.31357473673393
2020-05-22,132.90968064690762
2020-05-25,132.92555356094897
2020-05-26,132.89313985775496
2020-05-27,133.02623845541368
2020-05-28,132.8047701402503
2020-05-29,132.75235554286303
2020-06-01,132.74113170127862
2020-06-02,132.86006242252407
2020-06-03,133.00739488299598
2020-06-04,133.04497290385163
2020-06-05,133.2463671501475
2020-06-08,133.36523262455987
2020-06-09,133.2819758346656
2020-06-10,133.2634415610911
2020-06-12,133.24112101781705
2020-06-15,133.07251478748046
2020-06-16,133.0805776017209
2020-06-17,132.82688455084482
2020-06-18,132.77046119463503
2020-06-19,132.750931940152
2020-06-22,132.6616201414562
2020-06-23,132.66227724153228
2020-06-24,132.6668282148788
2020-06-25,132.74722672125236
2020-06-26,132.82709982610587
2020-06-29,132.94856701439582
2020-06-30,133.02722275319766
2020-07-01,133.11088712484096
2020-07-02,133.07913454035466
2020-07-03,132.99700969105515
2020-07-06,132.81777898729143
2020-07-07,132.7702705502587
2020-07-08,132.89148875733014
2020-07-09,132.92456414568832
2020-07-10,132.93668557406727
2020-07-13,132.98935809141608
2020-07-14,132.8409077686078
2020-07-15,132.73993974227776
2020-07-16,132.7759859602178
2020-07-17,132.88721770513098
2020-07-20,132.69791529862107
2020-07-21,132.4695838720944
2020-07-22,132.91353751013003
2020-07-23,132.5719477286735
2020-07-24,132.60052885496037
2020-07-27,132.6272934723732
2020-07-28,132.97649873792443
2020-07-29,132.79175622706822
2020-07-30,132.56600038039872
2020-07-31,132.68061838310027
2020-08-03,132.4585675120758
2020-08-04,132.34920476820034
2020-08-05,132.73919605838677
2020-08-06,132.51600885270585
2020-08-07,132.73565528454176
2020-08-10,132.72631496498582
2020-08-11,132.37437125859398
2020-08-12,132.23667947927478
2020-08-13,132.0748905435697
2020-08-14,132.60510871703005
2020-08-17,132.57559328750304
2020-08-18,132.30977642036953
2020-08-19,132.3064440597483
2020-08-20,132.46037074513555
2020-08-21,132.40356615019147
2020-08-24,132.63578705437746
2020-08-25,132.2651305992173
2020-08-26,131.7756274330293
2020-08-27,132.17877399008685
2020-08-28,131.79032718976745
2020-08-31,130.8458019601322
2020-09-01,131.2284331680114
2020-09-02,132.19383918588255
2020-09-03,131.93488872794885
2020-09-04,130.92136293219846
2020-09-08,132.45535412720523
2020-09-09,132.60526444239213
2020-09-10,133.07841020948848
2020-09-11,133.66493722469005
2020-09-14,133.72592363634413
2020-09-15,133.92077016809992
2020-09-16,134.44060937551095
2020-09-17,134.9697513154679
2020-09-18,134.91976769104747
2020-09-21,134.4872297460769
2020-09-22,134.376090532815
2020-09-23,134.3918685456341
2020-09-24,134.43582149984394
2020-09-25,134.52302921987328
2020-09-28,134.51010653651457
2020-09-29,134.28019200079544
2020-09-30,134.1182701756827
2020-10-01,134.49474397761085
2020-10-02,134.29835409354155
2020-10-05,134.36918556514252
2020-10-06,134.16649116072927
2020-10-07,134.20355594679887
2020-10-08,134.54638265562104
2020-10-09,134.30014824132599
2020-10-13,134.43709859259218
2020-10-14,134.21438710478367
2020-10-15,134.3940389654651
2020-10-16,133.96743642902567
2020-10-19,134.2242464646944
2020-10-20,134.55394593801006
2020-10-21,134.24059890678694
2020-10-22,134.52490877070352
2020-10-23,134.20977889234547
2020-10-26,134.49765159734554
2020-10-27,134.10345551608492
2020-10-28,134.3520300085643
2020-10-29,134.5257194151215
2020-10-30,134.6983784879216
2020-11-03,135.02295931442205
2020-11-04,135.304117531013
2020-11-05,135.66529808004313
2020-11-06,135.88828016508964
2020-11-09,135.75373922962842
2020-11-10,135.54558614463724
2020-11-11,134.95404310799458
2020-11-12,134.86442971689917
2020-11-13,135.33110251311209
2020-11-16,135.64927944502392
2020-11-17,135.83157352121114
2020-11-18,136.0782941774648
2020-11-19,136.62086150625282
2020-11-20,137.22996305500638
2020-11-23,137.51559555712774
2020-11-24,137.51924180956135
2020-11-25,137.5716642555492
2020-11-26,137.5829092666747
2020-11-27,137.50665539714458
2020-11-30,137.57738283548665
2020-12-01,138.22290216525553
2020-12-02,138.46575063242238
2020-12-03,138.40356358854044
2020-12-04,138.74590566981772
2020-12-07,138.85635714730358
2020-12-08,139.16133595287897
2020-12-09,138.9507519420745
2020-12-10,138.9280290410922
2020-12-11,138.78835672761943
2020-12-14,138.9477551992376
2020-12-15,138.93353568870882
2020-12-16,139.0098534097529
2020-12-17,138.79086086227196
2020-12-18,138.67019460297664
2020-12-21,138.62645725763326
2020-12-22,138.9597180329484
2020-12-23,138.94415338899523
2020-12-24,138.97319768985676
2020-12-28,138.7839914176899
2020-12-29,138.57269283476143
2020-12-30,138.96706289650214
2020-12-31,139.09643265183752
2021-01-04,138.92043272910078
2021-01-05,139.22045835916614
2021-01-06,138.75727011774762
2021-01-07,138.8085051853072
2021-01-08,138.43316119748715
2021-01-11,138.0707474023912
2021-01-12,137.91678890023528
2021-01-13,137.97730522006663
2021-01-14,137.63587948916634
2021-01-15,136.74603031158537
2021-01-18,137.1538602351417
2021-01-19,137.17225350929283
2021-01-20,137.64449158700904
2021-01-21,137.16152557331125
2021-01-22,137.20901604456787
2021-01-26,137.45928402632012
2021-01-27,137.358831643954
2021-01-28,137.76052644924056
2021-01-29,137.06057495326175
2021-02-01,136.8659650534046
2021-02-02,137.50933653810412
2021-02-03,137.40689617556666
2021-02-04,137.44994475221512
2021-02-05,137.38669659774106
2021-02-08,137.7622761632026
2021-02-09,137.93833870073152
2021-02-10,137.94241008421434
2021-02-11,138.1307467564732
2021-02-12,137.74718520244193
2021-02-17,138.4904032353771
2021-02-18,138.47739780868898
2021-02-19,138.70631311888775
2021-02-22,138.65104237444316
2021-02-23,138.4371759707124
2021-02-24,138.76384918743577
2021-02-25,139.13479684940143
2021-02-26,139.59682863968186
2021-03-02,140.78305233132653
2021-03-03,140.862984669461
2021-03-04,141.40708150427287
2021-03-05,141.6342355258855
2021-03-08,141.52217408128897
2021-03-09,141.12219043728817
2021-03-10,141.03763431655642
2021-03-11,141.51955178472858
2021-03-12,141.1491982313479
2021-03-15,141.84691059658908
2021-03-16,145.89029924209683
2021-03-17,148.4812307352735
2021-03-18,148.68369642061643
2021-03-19,148.6534938905326
2021-03-22,148.57234208906206
2021-03-23,148.43790595492572
2021-03-24,148.21723351233896
2021-03-25,147.98201797634036
2021-03-26,148.0819928095641
2021-03-29,147.54115273222993
2021-03-30,147.73690884385604
2021-03-31,147.74605362565512
2021-04-01,148.0451681126054
2021-04-05,147.87036430921367
2021-04-06,148.02219865376068
2021-04-07,147.8570208508704
2021-04-08,147.92474417777476
2021-04-09,147.98792400156432
2021-04-12,148.06419038108837
